12 5
"EngA",1,0,0,-0.270581547140893,-1.69088822462962,6.1
"EngL",0,0,0,0.85338146288147,-1.69088822462962,6.1
"EngB",0,0,0,-0.144875157862074,-1.69088822462962,6.1
"EngF",1,0,0,-0.91267006492779,-1.69088822462962,6.1
"EngL",0,0,0,-1.14559660976795,-1.69088822462962,6.1
"EngF",1,0,0,-0.370407209215247,-1.69088822462962,6.1
"EngF",0,1,0,-0.57868544243211,-1.69088822462962,6.1
"EngC",0,0,0,1.64212743482699,-1.69088822462962,6.1
"EngM",0,0,0,-1.06548959699223,-1.69088822462962,6.1
"EngI",0,1,0,-1.1332724539563,-1.69088822462962,6.1
"EngM",0,0,0,0.892818761478745,-1.69088822462962,6.1
"EngF",0,0,0,-0.905275571440801,-1.69088822462962,6.1
